"id","parent_id","title","level","locale","icon","content_path","insert_date","update_date","delete_flg"
"1","1","AIとは何か","1","ja","","lesson-stories/ja/ai_01.json","2024-01-01 00:00:00","2024-01-01 00:00:00","0"
"2","1","機械学習の基本","1","ja","","lesson-stories/ja/ai_02.json","2024-01-01 00:00:00","2024-01-01 00:00:00","0"
"3","1","ニューラルネットワーク","1","ja","","lesson-stories/ja/ai_03.json","2024-01-01 00:00:00","2024-01-01 00:00:00","0"
"4","1","自然言語処理","1","ja","","lesson-stories/ja/ai_04.json","2024-01-01 00:00:00","2024-01-01 00:00:00","0"
"5","1","画像認識AI","1","ja","","lesson-stories/ja/ai_05.json","2024-01-01 00:00:00","2024-01-01 00:00:00","0"
"6","1","ChatGPTを使ってみよう","1","ja","","lesson-stories/ja/ai_06.json","2024-01-01 00:00:00","2024-01-01 00:00:00","0"
"7","1","AIの倫理","1","ja","","lesson-stories/ja/ai_07.json","2024-01-01 00:00:00","2024-01-01 00:00:00","0"
"8","1","AIの未来","1","ja","","lesson-stories/ja/ai_08.json","2024-01-01 00:00:00","2024-01-01 00:00:00","0"
"9","1","AIで何が作れる？","1","ja","","lesson-stories/ja/ai_09.json","2024-01-01 00:00:00","2024-01-01 00:00:00","0"
"10","1","AIプロジェクトを始めよう","1","ja","","lesson-stories/ja/ai_10.json","2024-01-01 00:00:00","2024-01-01 00:00:00","0"
"11","2","What is AI?","1","en","","lesson-stories/en/ai_01.json","2024-01-01 00:00:00","2024-01-01 00:00:00","0"
"12","2","Machine Learning Basics","1","en","","lesson-stories/en/ai_02.json","2024-01-01 00:00:00","2024-01-01 00:00:00","0"
"13","2","Neural Networks","1","en","","lesson-stories/en/ai_03.json","2024-01-01 00:00:00","2024-01-01 00:00:00","0"
"14","2","Natural Language Processing","1","en","","lesson-stories/en/ai_04.json","2024-01-01 00:00:00","2024-01-01 00:00:00","0"
